,name,Worldwide_Box_Office,number_of_movies,average_box,link
2371,Jorva Entertainment Productions,"$9,699,921",2,"$10,212,450",https://www.the-numbers.com/movies/production-company/Jorva-Entertainment-Productions
2372,Pierce/Williams Entertainment,"$9,697,865",4,"$16,337,748",https://www.the-numbers.com/movies/production-company/Pierce-Williams-Entertainment
2373,Hamilton Entertainment,"$9,695,789",3,"$29,260,766",https://www.the-numbers.com/movies/production-company/Hamilton-Entertainment
2374,Adelaide Film Festival,"$9,695,773",10,"$23,224,063",https://www.the-numbers.com/movies/production-company/Adelaide-Film-Festival
2375,Screenwest,"$9,658,389",11,"$36,333,384",https://www.the-numbers.com/movies/production-company/Screenwest
2376,Lotterywest,"$9,658,389",11,"$36,333,384",https://www.the-numbers.com/movies/production-company/Lotterywest
2377,Double Guess,"$9,619,500",1,"$21,132,855",https://www.the-numbers.com/movies/production-company/Double-Guess
2378,Electric Pictures ,"$9,619,500",1,"$21,132,855",https://www.the-numbers.com/movies/production-company/Electric-Pictures
2379,Meta Film London,"$9,599,982",2,"$18,731,409",https://www.the-numbers.com/movies/production-company/Meta-Film-London
2380,Spark Film & TV,"$9,599,982",1,"$18,731,409",https://www.the-numbers.com/movies/production-company/Spark-Film-and-TV
2381,Visitor Pictures,"$9,591,572",2,"$11,735,902",https://www.the-numbers.com/movies/production-company/Visitor-Pictures
2382,Rickard Pictures,"$9,561,064",1,"$26,952,508",https://www.the-numbers.com/movies/production-company/Rickard-Pictures
2383,Blackbird,"$9,526,278",7,"$14,806,010",https://www.the-numbers.com/movies/production-company/Blackbird
2384,Screen NSW,"$9,516,965",24,"$105,980,719",https://www.the-numbers.com/movies/production-company/Screen-NSW
2385,TableTop Films,"$9,511,289",1,"$11,655,619",https://www.the-numbers.com/movies/production-company/TableTop-Films
2386,Red Chillies Entertainment,"$9,435,250",6,"$48,780,609",https://www.the-numbers.com/movies/production-company/Red-Chillies-Entertainment
2387,Summit Premiere,"$9,420,546",2,"$24,657,975",https://www.the-numbers.com/movies/production-company/Summit-Premiere
2388,Mandoo Pictures,"$9,420,546",1,"$24,148,488",https://www.the-numbers.com/movies/production-company/Mandoo-Pictures
2389,Huayi Tencent Entertainment Company,"$9,420,546",1,"$24,148,488",https://www.the-numbers.com/movies/production-company/Huayi-Tencent-Entertainment-Company
